Page,Line,Ignore_issues,Issue_exits
144,4,"extra green(1) at position 9 [13, 10]",no
145,6,"extra green(1) at position 6 [12, 16]",no
145,11,"missing pink(1) at position 2 [36, 26]",no
148,3,"extra green(1) at position 6 [13, 10]",no
148,5,"extra green(1) at position 13 [8, 7]",no
149,9,"extra green(1) at position 7 [14, 17]",no
149,13,"extra green(1) at position 13 [31, 33]",no
150,1,"extra pink(1) at position 8 [31, 30]",no
150,3,"extra green(1) at position 27 [19, 9]",no
150,14,"extra pink(1) at position 25 [9, 8]",no
151,1,"missing green(38) at position 1 [344, 11]",no
151,1,"missing orange(28) at position 5 [14, 10]",no
151,2,"missing orange(3) at position 1 [43, 28]",no
151,2,"missing blue(6) at position 2 [44, 29]",no
151,12,"missing blue(1) at position 13 [15, 13]",no
153,5,"extra green(1) at position 20 [14, 10]",no
154,7,"extra green(1) at position 16 [14, 17]",no
156,2,"extra green(1) at position 14 [13, 9]",no
159,9,"extra green(1) at position 29 [20, 9]",no
160,3,"extra green(1) at position 16 [20, 9]",no
161,1,"extra pink(1) at position 18 [20, 9]",no
161,10,"extra green(1) at position 5 [13, 10]",no
163,4,"extra pink(1) at position 14 [14, 41]",no
163,14,"missing green(1) at position 13 [5, 10]",no
164,11,"extra green(1) at position 27 [19, 9]",no
165,11,"missing orange(1) at position 16 [12, 27]",no
169,1,"extra green(1) at position 26 [19, 9]",no
169,7,"extra green(1) at position 9 [13, 10]",no
170,10,"extra pink(1) at position 12 [31, 30]",no
170,11,"extra pink(1) at position 15 [20, 9]",no
171,1,"extra pink(1) at position 5 [13, 10]",no
171,6,"missing blue(1) at position 14 [26, 16]",no
172,4,"missing green(1) at position 6 [38, 54]",no
172,5,"extra green(2) at position 20 [21, 25]",no
173,14,"missing blue(1) at position 7 [9, 10]",no
173,15,"extra pink(1) at position 9 [14, 9]",no
174,10,"extra pink(1) at position 14 [14, 10]",no
174,13,"missing green(1) at position 16 [9, 8]",no
177,1,"missing green(38) at position 1 [344, 11]",no
177,1,"missing orange(28) at position 5 [14, 10]",no
177,2,"missing orange(3) at position 1 [42, 28]",no
177,2,"missing blue(6) at position 2 [40, 26]",no
178,1,"extra green(1) at position 6 [13, 10]",no
178,7,"extra green(1) at position 5 [9, 19]",no
187,1,"missing green(38) at position 1 [344, 11]",no
187,1,"missing orange(28) at position 5 [14, 10]",no
192,13,"extra green(1) at position 13 [12, 10]",no
193,4,"extra pink(1) at position 2 [14, 9]",no
196,6,"extra blue(1) at position 18 [19, 9]",no
196,13,"extra green(1) at position 15 [13, 10]",no
198,8,"missing blue(1) at position 13 [9, 20]",no
207,3,"extra green(1) at position 18 [20, 9]",no
207,15,"missing green(39) at position 1 [344, 10]",no
207,15,"missing orange(28) at position 5 [11, 8]",no
208,1,"missing blue(6) at position 1 [42, 29]",no
208,1,"missing orange(3) at position 2 [43, 29]",no
209,15,"extra pink(1) at position 15 [11, 27]",no
210,9,"extra pink(1) at position 6 [13, 17]",no
210,15,"extra green(1) at position 23 [14, 8]",no
211,1,"extra green(1) at position 25 [36, 23]",no
212,2,"extra pink(1) at position 14 [7, 15]",no
212,4,"extra green(1) at position 22 [13, 10]",no
212,5,"extra pink(1) at position 18 [19, 9]",no
212,14,"extra green(1) at position 10 [13, 10]",no
213,2,"extra green(1) at position 27 [11, 9]",no
213,10,"missing blue(1) at position 8 [8, 16]",no
214,7,"extra green(1) at position 24 [20, 9]",no
221,7,"missing green(38) at position 1 [345, 11]",no
221,7,"missing orange(28) at position 5 [11, 8]",no
221,8,"missing orange(3) at position 1 [44, 29]",no
221,8,"missing blue(6) at position 2 [44, 29]",no
222,12,"extra pink(1) at position 10 [14, 17]",no
222,13,"extra pink(1) at position 3 [58, 34]",no
223,9,"extra pink(1) at position 16 [20, 9]",no
224,3,"extra pink(1) at position 9 [14, 17]",no
224,6,"extra pink(1) at position 13 [12, 10]",no
224,9,"extra green(1) at position 11 [13, 10]",no
227,3,"extra green(1) at position 10 [13, 10]",no
228,3,"extra green(1) at position 27 [31, 32]",no
230,1,"extra pink(1) at position 13 [8, 14]",no
230,5,"extra pink(1) at position 17 [7, 7]",no
232,8,"extra green(1) at position 7 [8, 7]",no
235,9,"missing green(38) at position 1 [344, 11]",no
235,9,"missing orange(28) at position 5 [11, 8]",no
235,10,"missing orange(3) at position 1 [40, 26]",no
235,10,"missing blue(6) at position 2 [39, 26]",no
235,14,"extra green(1) at position 7 [13, 10]",no
236,1,"extra pink(1) at position 6 [14, 9]",no
236,6,"extra pink(1) at position 13 [14, 41]",no
237,6,"extra green(1) at position 22 [25, 10]",no
237,10,"extra green(1) at position 9 [14, 8]",no
237,13,"extra pink(1) at position 3 [58, 34]",no
239,11,"extra green(1) at position 42 [20, 9]",no
239,14,"extra green(1) at position 17 [13, 10]",no
240,15,"extra pink(1) at position 16 [8, 14]",no
241,15,"extra green(1) at position 25 [20, 9]",no
242,4,"extra green(1) at position 10 [14, 10]",no
242,14,"extra pink(2) at position 13 [36, 23]",no
243,3,"extra pink(1) at position 2 [51, 21]",no
243,14,"extra pink(1) at position 10 [54, 18]",no
244,6,"extra pink(1) at position 17 [20, 9]",no
244,7,"extra pink(1) at position 14 [19, 13]",no
246,14,"extra green(1) at position 9 [8, 7]",no
247,3,"extra pink(1) at position 25 [20, 9]",no
249,1,"missing green(38) at position 1 [345, 11]",no
249,1,"missing orange(28) at position 5 [14, 10]",no
249,2,"missing orange(3) at position 1 [43, 29]",no
249,2,"missing blue(6) at position 2 [44, 29]",no
249,14,"extra pink(1) at position 12 [7, 15]",no
253,14,"extra green(1) at position 12 [11, 13]",no
255,3,"missing green(38) at position 1 [345, 11]",no
255,3,"missing orange(28) at position 5 [14, 10]",no
255,4,"missing orange(3) at position 1 [43, 29]",no
255,4,"missing blue(6) at position 2 [44, 29]",no
255,11,"extra green(1) at position 7 [13, 10]",no
255,13,"missing blue(1) at position 16 [30, 15]",no
256,13,"extra pink(1) at position 3 [100, 34]",no
259,2,"extra green(1) at position 13 [31, 32]",no
262,1,"missing green(38) at position 1 [345, 12]",no
262,1,"missing orange(28) at position 5 [14, 10]",no
262,2,"missing orange(3) at position 1 [43, 29]",no
262,2,"missing blue(6) at position 2 [43, 29]",no
263,12,"extra pink(1) at position 19 [8, 7]",no
263,14,"extra pink(1) at position 2 [26, 23]",no
265,14,"extra pink(1) at position 14 [12, 9]",no
267,7,"missing green(35) at position 1 [345, 12]",no
267,7,"missing orange(28) at position 5 [12, 9]",no
267,8,"missing orange(3) at position 1 [43, 28]",no
267,8,"missing blue(6) at position 2 [44, 28]",no
269,7,"extra green(1) at position 16 [7, 15]",no
272,14,"missing blue(1) at position 21 [9, 8]",no
274,9,"extra pink(1) at position 5 [24, 21]",no
276,9,"missing blue(1) at position 17 [8, 19]",no
279,12,"extra pink(1) at position 13 [20, 9]",no
280,2,"extra green(1) at position 16 [32, 30]",no
280,3,"extra green(1) at position 22 [13, 10]",no
280,10,"extra green(1) at position 8 [13, 10]",no
282,1,"missing green(38) at position 1 [345, 11]",no
282,1,"missing orange(28) at position 5 [11, 8]",no
282,2,"missing orange(3) at position 1 [43, 28]",no
282,2,"missing blue(6) at position 2 [43, 29]",no
283,9,"extra pink(1) at position 19 [8, 15]",no
285,3,"extra blue(1) at position 23 [13, 10]",no
286,3,"extra pink(1) at position 16 [12, 9]",no
287,11,"extra pink(1) at position 2 [8, 7]",no
291,4,"extra pink(1) at position 9 [14, 17]",no
291,6,"extra green(1) at position 19 [13, 10]",no
291,13,"extra pink(1) at position 11 [17, 19]",no
292,11,"extra green(1) at position 25 [20, 9]",no
292,12,"extra pink(1) at position 30 [20, 9]",no
293,10,"missing green(37) at position 1 [345, 11]",no
293,10,"missing orange(28) at position 5 [14, 10]",no
293,11,"missing orange(3) at position 1 [44, 29]",no
293,11,"missing blue(6) at position 2 [44, 29]",no
296,7,"extra green(1) at position 21 [20, 9]",no
296,7,"extra pink(1) at position 10 [22, 19]",no
296,9,"extra green(1) at position 25 [20, 9]",no
297,14,"extra green(1) at position 19 [14, 17]",no
300,12,"extra pink(1) at position 10 [13, 10]",no
301,14,"extra pink(1) at position 16 [12, 9]",no
302,3,"extra pink(1) at position 15 [7, 15]",no
304,14,"extra green(1) at position 31 [17, 8]",no
305,1,"missing green(38) at position 1 [345, 11]",no
305,1,"missing orange(28) at position 5 [11, 8]",no
305,2,"missing orange(3) at position 1 [44, 28]",no
305,2,"missing blue(6) at position 2 [44, 29]",no
305,4,"extra green(1) at position 8 [13, 10]",no
307,2,"extra green(1) at position 17 [8, 15]",no
307,6,"extra green(1) at position 13 [5, 6]",no
308,5,"extra green(1) at position 20 [19, 9]",no
309,1,"missing blue(1) at position 16 [8, 8]",no
312,5,"missing green(38) at position 1 [345, 11]",no
312,5,"missing orange(30) at position 5 [14, 10]",no
312,6,"missing orange(3) at position 1 [43, 28]",no
312,6,"missing blue(6) at position 2 [43, 28]",no
313,4,"extra green(1) at position 4 [7, 15]",no
314,1,"extra pink(1) at position 14 [19, 9]",no
316,14,"extra pink(1) at position 14 [8, 14]",no
317,7,"extra green(1) at position 23 [13, 10]",no
320,12,"extra green(1) at position 23 [13, 9]",no
322,1,"missing green(38) at position 1 [345, 11]",no
322,1,"missing orange(28) at position 5 [14, 10]",no
322,2,"missing orange(3) at position 1 [43, 28]",no
322,2,"missing blue(6) at position 2 [44, 28]",no
322,9,"extra green(1) at position 11 [31, 30]",no
324,13,"extra green(1) at position 15 [10, 24]",no
327,2,"missing orange(1) at position 16 [14, 18]",no
327,5,"missing blue(1) at position 14 [7, 18]",no
327,6,"missing blue(1) at position 13 [9, 19]",no
327,15,"missing green(1) at position 9 [39, 39]",no
329,3,"extra green(1) at position 21 [14, 7]",no
330,15,"extra pink(1) at position 9 [7, 7]",no
331,9,"extra green(1) at position 21 [8, 15]",no
331,15,"missing green(38) at position 1 [344, 11]",no
331,15,"missing orange(28) at position 5 [14, 10]",no
332,1,"missing orange(3) at position 1 [48, 28]",no
332,1,"missing blue(6) at position 2 [48, 29]",no
334,2,"extra green(1) at position 17 [7, 15]",no
335,5,"extra green(1) at position 1 [8, 7]",no
337,13,"missing orange(1) at position 11 [15, 12]",no
341,1,"extra green(1) at position 15 [20, 9]",no
341,5,"extra pink(1) at position 2 [16, 32]",no
341,15,"missing green(38) at position 1 [345, 11]",no
341,15,"missing orange(28) at position 5 [14, 10]",no
342,1,"missing orange(3) at position 1 [43, 28]",no
342,1,"missing blue(6) at position 2 [44, 29]",no
342,8,"extra pink(1) at position 4 [32, 30]",no
343,2,"extra green(1) at position 23 [13, 10]",no
343,3,"extra green(1) at position 13 [13, 10]",no
343,10,"extra pink(1) at position 12 [19, 9]",no
343,14,"extra green(1) at position 10 [8, 8]",no
343,15,"missing green(1) at position 27 [20, 7]",no
345,9,"extra green(1) at position 5 [12, 10]",no
346,5,"missing blue(1) at position 12 [38, 36]",no
346,6,"missing blue(1) at position 28 [15, 12]",no
348,3,"extra green(1) at position 19 [5, 15]",no
349,6,"extra pink(1) at position 14 [31, 30]",no
349,15,"missing green(37) at position 1 [346, 11]",no
349,15,"missing orange(28) at position 5 [11, 8]",no
350,1,"missing orange(3) at position 1 [44, 28]",no
350,1,"missing blue(6) at position 2 [43, 28]",no
350,3,"extra green(1) at position 10 [28, 29]",no
351,13,"extra green(1) at position 5 [7, 15]",no
352,1,"extra blue(1) at position 11 [8, 15]",no
354,6,"missing blue(1) at position 24 [11, 53]",no
354,10,"extra green(1) at position 7 [13, 9]",no
354,11,"extra green(2) at position 23 [13, 10]",no
355,4,"missing green(1) at position 19 [30, 12]",no
355,5,"extra green(1) at position 18 [14, 41]",no
355,8,"extra blue(1) at position 29 [20, 9]",no
355,10,"extra green(1) at position 27 [13, 17]",no
355,15,"extra blue(1) at position 22 [19, 9]",no
356,7,"extra pink(1) at position 14 [14, 42]",no
356,12,"extra pink(1) at position 3 [13, 10]",no
358,6,"extra green(1) at position 7 [5, 14]",no
359,11,"missing green(38) at position 1 [344, 11]",no
359,11,"missing orange(28) at position 5 [14, 10]",no
